method,n_early,fold,n_cells,mae,mape_%,rmse,median_ae
Hyper_Deep_Ensemble,50,2,22.0,163.11906363747337,102.53725451040945,236.03471649773252,73.16100311279297
Hyper_Deep_Ensemble,50,3,22.0,151.11410557140005,36.627864786199055,219.99785565774872,70.67719268798828
Hyper_Deep_Ensemble,50,4,22.0,207.43653193387118,50.73479388090536,342.0863074591947,101.46412658691406
Hyper_Deep_Ensemble,100,0,22.0,94.05414841391824,33.389866849153755,151.85747957281308,48.35493850708008
Hyper_Deep_Ensemble,100,1,22.0,150.7159555608576,37.13805429659147,250.3452002887758,89.16822814941406
Hyper_Deep_Ensemble,100,2,20.0,153.9966220855713,35.09690956421295,210.7160326362132,88.95421600341797
Hyper_Deep_Ensemble,100,3,21.0,131.3747329711914,22.169122782321242,185.71000064786062,71.06228637695312
Hyper_Deep_Ensemble,100,4,22.0,204.34119363264605,52.16777736561307,329.45641904525485,99.29471588134766
Hyper_Deep_Ensemble,150,0,21.0,73.7611341930571,14.578160849821538,112.06847619125031,41.40806579589844
Hyper_Deep_Ensemble,150,1,21.0,120.31418718610492,24.914306446905428,215.54135505630862,48.793975830078125
Hyper_Deep_Ensemble,150,2,19.0,109.16466883609169,19.675393889696007,152.81782818506423,66.448974609375
Hyper_Deep_Ensemble,150,3,21.0,92.38676307314918,18.509065907874692,133.4638897293071,51.794830322265625
Hyper_Deep_Ensemble,150,4,20.0,171.10942344665528,29.181723243827538,293.1981419559707,62.290672302246094
Jackknife_Plus_PINN_Knee,50,0,22.0,106.72929143038664,34.267099230796276,164.01382550382374,62.12883453369139
Jackknife_Plus_PINN_Knee,50,1,22.0,135.1183870467273,31.170700453186143,245.03177598272524,55.355173492431646
Jackknife_Plus_PINN_Knee,50,2,22.0,153.84981831637293,92.74326941071907,221.2977831879739,59.9726577758789
Jackknife_Plus_PINN_Knee,50,3,22.0,159.38108459602702,39.316109018937425,219.8908747157198,93.06952915191651
Jackknife_Plus_PINN_Knee,50,4,22.0,202.29372156316583,57.935978909202866,325.07890576544753,123.45495986938477
Jackknife_Plus_PINN_Knee,100,0,22.0,114.15953424627129,37.687513348065266,185.70607514355214,49.82302017211913
Jackknife_Plus_PINN_Knee,100,1,22.0,132.38387236161665,35.334306010010856,218.97357680365437,71.6573486328125
Jackknife_Plus_PINN_Knee,100,2,20.0,118.74303215026855,29.18808836491383,165.70971849304794,55.17127532958983
Jackknife_Plus_PINN_Knee,100,3,21.0,151.95895818074547,28.380400232927588,204.55576419282718,104.50656967163088
Jackknife_Plus_PINN_Knee,100,4,22.0,199.56330113844442,56.78847550686751,305.79694934937976,180.8304517745972
Jackknife_Plus_PINN_Knee,150,0,21.0,78.6918853396461,16.239973507340185,111.45804243941092,60.00942993164063
Jackknife_Plus_PINN_Knee,150,1,21.0,120.34971455165318,25.33543086677968,207.69717905472635,45.38738098144529
Jackknife_Plus_PINN_Knee,150,2,19.0,109.32745542024311,19.449101102380723,151.29656215712959,73.30146331787108
Jackknife_Plus_PINN_Knee,150,3,21.0,81.99366949172247,16.769193983668846,121.03556960390408,43.89822540283205
Jackknife_Plus_PINN_Knee,150,4,20.0,178.46218765258786,32.28768716038648,294.4120088721401,93.1860134124756
Last_Layer_Laplace,50,0,22.0,153.43519685918636,45.03774535432419,214.71674231603407,108.6508865356445
Last_Layer_Laplace,50,1,22.0,180.29186706542967,40.63077524007141,280.67676381951105,105.56770324707031
Last_Layer_Laplace,50,2,22.0,416.76517845500604,321.1302411341448,819.9965258815632,191.11051273345944
Last_Layer_Laplace,50,3,22.0,224.7720409566706,80.89947447976553,279.18606869749823,188.12164154052738
Last_Layer_Laplace,50,4,22.0,425.7812276666815,131.24213074263417,793.1226479505063,196.24913787841803
Last_Layer_Laplace,100,0,22.0,216.4276674097234,66.88968715713696,339.6150207588537,137.11658935546876
Last_Layer_Laplace,100,1,22.0,253.05663878700943,69.31157968306034,504.2663585547181,102.90855522155762
Last_Layer_Laplace,100,2,20.0,713.045831184387,213.86175252294862,1849.7264664302636,169.23962020874023
Last_Layer_Laplace,100,3,21.0,175.23030831473216,36.1489102222429,222.9249221266517,130.80680541992183
Last_Layer_Laplace,100,4,22.0,257.81455882679336,65.16504978301307,356.2370190166735,214.54737396240236
Last_Layer_Laplace,150,0,21.0,193.94118456159316,55.92806517865312,404.20551427498344,89.08515472412108
Last_Layer_Laplace,150,1,21.0,264.34527907598584,61.20500762415043,433.1771558079481,129.5063446044922
Last_Layer_Laplace,150,2,19.0,268.4158419358104,72.8034595629432,548.8501123557378,114.28358039855956
Last_Layer_Laplace,150,3,21.0,1552.323845381964,523.5827816192016,3283.2638013378505,110.99197692871093
Last_Layer_Laplace,150,4,20.0,271.9937933349609,60.697752034143605,369.24113829403444,231.20715293884277
