n_seeds,n_test,MAE,MedAE,RMSE,mean_sigma,PICP_gauss,MPIW_gauss,NLL_gauss,CRPS_gauss,PICP_conformal,MPIW_conformal,q_hat,method,n_early,fold
10,22,188.22619729475537,144.23321014404297,277.7308856430349,11.872635950313049,0.045454545454545456,46.54073292522715,334.07033242605826,181.68255526840326,0.9090909090909091,1045.1107055664063,522.555352783203,Ensemble_NN_5x_MLP,100,1
10,20,196.25338936042786,171.98943674087522,250.81778289194986,24.735759125369675,0.25,96.96417577144913,131.33551625340505,184.0619364539739,1.0,1261.5769079589845,630.7884539794923,Ensemble_NN_5x_MLP,100,2
10,21,207.06934732800437,180.35968505859375,232.34302023718087,17.088926015574355,0.0,66.98858998105146,201.8701709641366,197.44168830334183,1.0,1039.6410290527344,519.8205145263672,Ensemble_NN_5x_MLP,100,3
10,22,241.95719351335,147.39609466552733,356.65472466996687,13.822114900533387,0.09090909090909091,54.18269041009086,618.1927267958431,234.4423586988717,0.9545454545454546,992.0225024414063,496.0112512207031,Ensemble_NN_5x_MLP,100,4
10,21,151.92536937895278,159.61777221679688,182.42311693113643,11.778728334349763,0.0,46.172615070651055,169.17190137076,145.28072322441815,1.0,1784.3578198242187,892.1789099121095,Ensemble_NN_5x_MLP,150,0
10,21,176.52356378464472,179.06428039550775,266.6454111138425,10.793584604246812,0.047619047619047616,42.31085164864749,595.3163866770492,170.46660658357467,0.9047619047619048,961.8327111816403,480.9163555908203,Ensemble_NN_5x_MLP,150,1
10,19,186.8722094244706,98.44258728027341,250.906828766277,12.826375114933423,0.15789473684210525,50.279390450539026,511.38703914077536,181.71045813055753,0.8947368421052632,1018.8711743164062,509.43558715820313,Ensemble_NN_5x_MLP,150,2
10,21,218.5075639932075,213.27895568847663,239.72953409835267,22.904137902596894,0.047619047619047616,89.78422057817983,133.7195962689863,205.70811840090067,1.0,1354.3888708496092,677.1944354248046,Ensemble_NN_5x_MLP,150,3
10,20,224.58425782012938,137.4574041748047,352.03442474709476,11.659259346571826,0.15,45.70429663856155,2005.703158165676,218.5755506387286,0.95,949.1412854003905,474.5706427001953,Ensemble_NN_5x_MLP,150,4
300,22,147.85741169785004,140.50947560628256,183.6954326412632,81.81746312757002,0.7727272727272727,320.7244554600745,7.821718615497042,114.1268847256499,1.0,1896.370684000651,948.1853420003256,Bayesian_LSTM,50,0
300,22,185.71981833486845,129.93590095520017,271.92143804238987,77.90334519641156,0.7272727272727273,305.3811131699333,11.427673525731567,148.16032981893207,0.9090909090909091,990.5128285725913,495.2564142862956,Bayesian_LSTM,50,1
300,22,204.1910479551373,131.96842819213867,248.3993536646431,78.21812594247939,0.6363636363636364,306.61505369451925,10.32667174272457,165.84675778590045,0.9090909090909091,988.9866826375327,494.4933413187663,Bayesian_LSTM,50,2
300,22,198.45161094665525,140.19594963073732,218.941107387216,78.08195613400846,0.5454545454545454,306.08126804531315,9.24552931045934,156.30598074048464,1.0,989.6519926961264,494.82599634806314,Bayesian_LSTM,50,3
300,22,237.21615115310206,132.14204554239907,366.5317849533711,77.71164602508212,0.5909090909090909,304.62965241832194,15.995435320246894,205.5720428958013,0.8181818181818182,991.4525037638344,495.72625188191734,Bayesian_LSTM,50,4
300,22,147.89141190268776,141.41401077270507,183.60343085642577,82.12838631701901,0.7727272727272727,321.9432743627145,7.83099747491329,114.04368535540067,1.0,1895.8275106811523,947.9137553405762,Bayesian_LSTM,100,0
300,22,186.04062384634307,131.9684134674072,272.02809098077904,78.53306460798265,0.7272727272727273,307.849613263292,11.428538928544322,148.29449705635125,0.9090909090909091,992.8825527954101,496.44127639770505,Bayesian_LSTM,100,1
300,20,193.4684610010783,127.62402371724446,241.07870831974228,78.21099621490448,0.7,306.5871051624255,10.188772656433255,155.51327015528176,0.9,989.0438290405276,494.5219145202637,Bayesian_LSTM,100,2
300,21,193.76525244818794,133.83316899617512,214.71896351465955,78.43570611919391,0.5714285714285714,307.46796798724006,9.096538607735337,151.4506165832027,1.0,989.0083730061849,494.50418650309246,Bayesian_LSTM,100,3
300,22,237.2734952568285,132.5482028198242,365.7131998762863,78.51519673764925,0.5909090909090909,307.77957121158505,15.948615202894281,205.43224987503146,0.8181818181818182,993.0118602498372,496.5059301249186,Bayesian_LSTM,100,4
300,21,139.82967669290207,144.52783640543618,173.78391312662896,83.22433259803753,0.8095238095238095,326.2393837843071,7.6042032196150116,106.35623561338326,1.0,1883.8922761027013,941.9461380513509,Bayesian_LSTM,150,0
300,21,178.49908340454098,141.98809829711917,266.78119627507465,82.27421962400575,0.7619047619047619,322.51494092610255,10.451803667881649,141.09688617609558,0.9047619047619048,933.981659851074,466.9908299255371,Bayesian_LSTM,150,1
300,19,180.06493083217688,118.88725636800132,229.92087732907606,82.12210986229758,0.7368421052631579,321.9186706602066,9.368351522887608,143.21853714898143,0.8947368421052632,934.6853162638348,467.3426581319173,Bayesian_LSTM,150,2
300,21,190.830743962848,153.40977096557617,207.4941977213122,82.220238755619,0.5238095238095238,322.30333592202646,8.494924062277985,146.50759436125998,1.0,934.1086080932616,467.0543040466309,Bayesian_LSTM,150,3
300,20,233.51536655426025,145.36491170247396,367.39224236767376,82.35284684543082,0.65,322.8231596340888,15.400993085407759,200.26963441868867,0.8,935.274580790202,467.63729039510093,Bayesian_LSTM,150,4
10,22,159.61535932367497,111.32912330627443,204.30511087445652,66.175269159432,0.45454545454545453,259.4070551049735,21.95871511124324,132.27578582608268,1.0,1917.2965820312506,958.6482910156251,CQR_MLP,50,0
10,22,201.0833652843129,69.09705810546873,330.4218424995108,69.46432658842116,0.45454545454545453,272.30016022661096,15.75765330269971,173.9762642779093,0.8181818181818182,926.909201049805,463.45460052490233,CQR_MLP,50,1
10,22,395.9217622236772,212.18278579711912,720.2024167019233,145.73582711552595,0.36363636363636365,571.2844422928619,16.868768845536426,318.4873718557705,0.8181818181818182,936.5123474121096,468.2561737060547,CQR_MLP,50,2
10,22,229.20718982002953,182.11345977783205,275.93231593938754,69.80379104605042,0.2727272727272727,273.63086090051763,38.561247516191536,194.89410375904717,1.0,1158.587591552735,579.2937957763672,CQR_MLP,50,3
